~(x-1),-x
~(-x) + 1, x
~(-y) + 1, y
~(((x&y)*(x|y)+(x&~y)*(~x&y))-1),-(x*y)
~(~(((y&x)*(y|x)+(y&~x)*(~y&x))-1))+1,-(-(y*x))
(x&~(y-1))*(x|~(y-1))+(x&~(~(y-1)))*(~x&~(y-1)),x*(-y)
(~(y-1)&x)*(~(y-1)|x)+(~(y-1)&~x)*(~(~(y-1))&x),(-y)*x
((x-1)&y)*((x-1)|y)+((x-1)&~y)*(~(x-1)&y),(~(-x))*y
~(((x&y)*(x|y)+(x&~y)*(~x&y))-1)+4*(~x&y)-(x^y)+3*~(x|y)+~(x^y)-~y-~x-(~x|y)-~(x&y),-(x*y)-3*(x&~y)
~(~(((y&x)*(y|x)+(y&~x)*(~y&x))-1))+1+2*(x&~y)+2*(x^y)-(x|y)+2*~(x^y)-~y-~(x&y),-(-(y*x))+x
(x&~(y-1))*(x|~(y-1))+(x&~(~(y-1)))*(~x&~(y-1))+2*(~(x&~x))+(~(x&~y))-2*(x|y)-1*(~(x^y))+(x^y)-1*(~(x|~y)),x*(-y)+1*~y+1*~x
(~(y-1)&x)*(~(y-1)|x)+(~(y-1)&~x)*(~(~(y-1))&x)-3*(x&y)+(x&~y)-(~x&y)+3*~(x|y)-~x-(~x|y)-~(x&y),(-y)*x-4*y
((x-1)&y)*((x-1)|y)+((x-1)&~y)*(~(x-1)&y)-2*(~(x&~x))-2*(~(x&y))-1*(x^y)-1*(~(x&~y))-1*(~(x^y))-1*~x-1*y+(x|~y)+2*(x|y)+4*(~(x|y))+6*(~(x|~y))+2*(x&y),(~(-x))*y-2*~y
~(((x&y)*(x|y)+(x&~y)*(~x&y))-1)+(x|~y)+(~x&y)-(~(x&y))+(x|y),-(x*y)+x+y
~(~(((y&x)*(y|x)+(y&~x)*(~y&x))-1))+1-1*x+~y+4*~x-1*(x|~y)+(~(x&~x))-2*(x^y)+(~(x^y))+(~(x&~y))-6*(~(x|y))-4*(~(x|~y))+3*(x&~y)-2*(x&y),-(-(y*x))-y+1*(~(x&y))
(x&~(y-1))*(x|~(y-1))+(x&~(~(y-1)))*(~x&~(y-1))+2*y-1*(x|~y)-1*(x|y)+2*~y+~x+(x^y)-1*(~(x&~y))-1*(~(x&~x))-4*(~(x|y))-1*(~(x|~y))-2*(x&y),x*(-y)-4*(~(x^y))
